year,line,C_total,C_op,personal,energia,aprov,serv_ext,amort,renting,canon,pax,coches_km,w_labor,w_energy,w_other,share_ckm,share_km
2023,L1,122617526.63152765,110159775.13841908,63789058.86841844,6552467.901239464,3411654.910857709,33400743.370946947,3005850.086956522,12457751.493108576,0.0,116090898,26211739.478433315,59107.83551494196,0.0962517295517456,1.0,0.2665344571145265,0.1739130434782609
2023,L2,40619814.18115864,36572280.83394331,20725115.852586344,2128902.021484052,1108449.3882002973,10851928.029747147,1757885.5419254662,4047533.3472153354,0.0,49762480,8516214.959510824,59107.83551494196,0.0962517295517456,1.0,0.08659725665179308,0.1017080745341615
2023,L3,73429192.90243405,66038582.393625595,37843112.30487522,3887277.584267062,2023977.814179474,19815123.547446698,2469091.142857143,7390610.508808459,0.0,84211811,15550218.460419761,59107.83551494196,0.0962517295517456,1.0,0.15812262435960994,0.14285714285714288
2023,L4,53642960.712522484,48297744.91810834,27369809.484713268,2811450.761196496,1463830.1080813087,14331172.130887454,2321482.433229814,5345215.794414146,0.0,53089707,11246604.488514293,59107.83551494196,0.0962517295517456,1.0,0.11436126260122292,0.13431677018633542
2023,L5,106261936.76436482,95458730.39143473,55317074.487456605,5682218.258106097,2958544.493009419,28964707.141993053,2536186.0108695654,10803206.37293009,0.0,107913473,22730492.828953885,59107.83551494196,0.0962517295517456,1.0,0.23113534952900341,0.14673913043478262
2023,L9/L10 Nord,85741881.75788912,27357790.504913975,14792353.681044454,1519483.5038836554,791145.1740208229,7745460.082300445,2509348.0636645965,2888888.305073541,55495202.9479016,11039400,6078367.165757725,59107.83551494196,0.0962517295517456,1.0,0.06180796562551644,0.14518633540372672
2023,L9/L10 Sud,117073136.14656295,34305416.07916129,19048121.745430503,1956639.7205090064,1018758.0636588992,9973833.089935547,2308063.4596273294,3720023.015303255,79047697.05209841,15724587,7827116.649809947,59107.83551494196,0.0962517295517456,1.0,0.07959015038836555,0.13354037267080746
2024,L1,118652309.58442499,106998977.96809326,62806087.15214546,4987308.995605058,4140419.3516959096,32306929.42516858,2758233.043478261,11653331.616331732,0.0,125065070,24911057.810581405,61298.33765586035,0.08153232637989657,1.0,0.2555104505653034,0.1739130434782609
2024,L2,41482096.96860986,37473204.00185709,21606085.653705504,1715697.1597275806,1424356.4471432883,11113990.952460831,1613073.788819876,4008892.966752776,0.0,48773807,8569717.891770389,61298.33765586035,0.08153232637989657,1.0,0.08789881571442949,0.1017080745341615
2024,L3,75064701.69273755,67744646.7488653,39451722.81195692,3132784.4321132614,2600809.634783775,20293638.441439927,2265691.428571429,7320054.943872244,0.0,88863235,15647912.364209747,61298.33765586035,0.08153232637989657,1.0,0.16049921159459185,0.14285714285714288
2024,L4,54781700.57686645,49487513.68184179,28533227.619015664,2265768.00483108,1881020.346227396,14677255.2272956,2130242.48447205,5294186.895024658,0.0,61610767,11317261.032643339,61298.33765586035,0.08153232637989657,1.0,0.11608011540913207,0.13431677018633542
2024,L5,108741029.77786659,98040957.82500316,57668456.86120709,4579339.78548663,3801726.9598751967,29664175.08799946,2327259.1304347827,10700071.95286342,0.0,111607243,22873296.6477673,61298.33765586035,0.08153232637989657,1.0,0.234609319958399,0.14673913043478262
2024,L9/L10 Nord,88136866.21611632,27897457.812429737,15421137.47039286,1224562.4765994565,1016620.8229610494,7932504.992786929,2302632.049689441,2861309.10222431,57378099.30146228,12216801,6116554.373133828,61298.33765586035,0.08153232637989657,1.0,0.06273694098701647,0.14518633540372672
2024,L9/L10 Sud,123479448.72543643,35076399.76585265,19857806.967222463,1576869.7559633642,1309103.177374442,10214690.921193007,2117928.944099379,3684509.2610460627,84718539.69853772,18038059,7876290.337169121,61298.33765586035,0.08153232637989657,1.0,0.08078639245814741,0.13354037267080746
2025,L1,111816148.16595459,107209039.2318116,61786467.7592959,4987308.995605058,4748714.52924928,33071101.223023668,2615446.7246376816,4607108.934142986,0.0,126387074,24886457.264400978,59870.21903111331,0.08153232637989657,1.0,0.2555104505653034,0.1739130434782609
2025,L2,39095987.06509802,37511083.51895114,21255323.730219968,1715697.1597275806,1633617.6558079196,11376875.683340602,1529569.2898550725,1584903.5461468783,0.0,52732320,8561254.993793404,59870.21903111331,0.08153232637989657,1.0,0.08789881571442949,0.1017080745341615
2025,L3,70742960.92497288,67848999.64071079,38811247.60510394,3132784.4321132614,2982911.017322552,20773653.919504363,2148402.666666667,2893961.284262086,0.0,89346904,15632459.50011742,59870.21903111331,0.08153232637989657,1.0,0.16049921159459185,0.14285714285714288
2025,L4,51630578.337877534,49537537.77693547,28070007.674259957,2265768.00483108,2157372.934769237,15024423.612350564,2019965.550724638,2093040.5609420603,0.0,55430800,11306084.839131746,59870.21903111331,0.08153232637989657,1.0,0.11608011540913207,0.13431677018633542
2025,L5,102474706.64806339,98244465.9998935,56732243.83413292,4579339.78548663,4360262.69735297,30365836.509007946,2206783.1739130435,4230240.648169893,0.0,121402857,22850708.462441705,59870.21903111331,0.08153232637989657,1.0,0.234609319958399,0.14673913043478262
2025,L9/L10 Nord,85915869.4933339,27864893.416972376,15170784.494469978,1224562.4765994565,1165979.0138781716,8120136.461010277,2183430.9710144927,1131209.782936894,56919766.29342463,13465494,6110514.060455598,59870.21903111331,0.08153232637989657,1.0,0.06273694098701647,0.14518633540372672
2025,L9/L10 Sud,116840896.85665923,35078322.3743377,19535427.306247972,1576869.7559633642,1501431.7996891106,10456304.063161897,2008289.4492753623,1456659.4424128558,80305915.03990868,18997949,7868512.22330325,59870.21903111331,0.08153232637989657,1.0,0.08078639245814741,0.13354037267080746
