scenario,model,rtd_w,rts_w,mc_ac,subsidy_pct,rmse_M
baseline,M-OP,2.178322334662748,1.4287047640382642,0.4553885208203774,54.46114791796226,8.076775806146845
baseline,M-FU,1.9642432681544766,1.4287047640382644,0.4967216752831254,50.32783247168746,44.216247684982264
sigma_low,M-OP,2.178322334662748,1.4287047640382642,0.4553885208203774,54.46114791796226,8.07623629086451
sigma_low,M-FU,1.9642432681544766,1.4287047640382644,0.4967216752831254,50.32783247168746,44.21749967119422
sigma_high,M-OP,2.178322334662748,1.4287047640382642,0.4553885208203774,54.46114791796226,8.077500194472126
sigma_high,M-FU,1.9642432681544766,1.4287047640382644,0.4967216752831254,50.32783247168746,44.214676063165584
beta_low,M-OP,2.7857304150026163,1.8184018819212084,0.3553885208203773,64.46114791796226,12.098139305946841
beta_low,M-FU,2.444826176090405,1.818401881921208,0.3967216752831255,60.32783247168745,38.52810910887056
beta_high,M-OP,1.7884971815182575,1.1765599096784585,0.5553885208203774,44.461147917962265,8.167953569731784
beta_high,M-FU,1.6416298365915651,1.1765599096784587,0.5967216752831254,40.327832471687465,51.36435242565774
no_trend,M-OP,2.178322334662748,1.4287047640382642,0.4553885208203774,54.46114791796226,8.09390258186281
no_trend,M-FU,1.9642432681544766,1.4287047640382644,0.4967216752831254,50.32783247168746,44.23312008520601
