param,M-OP,M-FU
alpha_L,0.5739507046819458,0.40575647745108256
alpha_E,0.050231695210488474,0.03551147431084486
alpha_O,0.3758176001075658,0.5587320482380727
beta1,0.45,0.5
beta2,0.25,0.2
lam,-0.005,-0.003
gamma_LL,0.1035786206835032,0.09932906552812129
gamma_EE,0.02673728768972739,0.018566105824103833
gamma_OO,0.09571928813711629,0.1006043584816695
gamma_LE,-0.017298310118057148,-0.008645406435277812
gamma_LO,-0.08628031056544605,-0.09068365909284348
gamma_EO,-0.009438977571670244,-0.009920699388826023
delta_11,0.05,0.05
delta_22,0.05,0.05
delta_12,-0.05,-0.05
rho_LY1,-0.04,-0.04
rho_LY2,0.02,0.02
rho_EY1,0.01,0.01
rho_EY2,0.01,0.01
rho_OY1,0.03,0.03
rho_OY2,-0.03,-0.03
sigma_LE,0.4,0.4
sigma_LO,0.6,0.6
sigma_EO,0.5,0.5
