line,year,concession_fee,train_leasing,F_inst_total,F_inst_per_pax,F_inst_share_of_total
L1,2023,0.000000,12457751.493109,12457751.493109,0.107310,0.101598
L2,2023,0.000000,4047533.347215,4047533.347215,0.081337,0.099644
L3,2023,0.000000,7390610.508808,7390610.508808,0.087762,0.100649
L4,2023,0.000000,5345215.794414,5345215.794414,0.100683,0.099644
L5,2023,0.000000,10803206.372930,10803206.372930,0.100110,0.101666
L9/L10 North,2023,55495202.947902,2888888.305074,58384091.252975,5.288701,0.680929
L9/L10 South,2023,79047697.052098,3720023.015303,82767720.067402,5.263586,0.706974
L1,2024,0.000000,11653331.616332,11653331.616332,0.093178,0.098214
L2,2024,0.000000,4008892.966753,4008892.966753,0.082194,0.096642
L3,2024,0.000000,7320054.943872,7320054.943872,0.082374,0.097517
L4,2024,0.000000,5294186.895025,5294186.895025,0.085930,0.096642
L5,2024,0.000000,10700071.952863,10700071.952863,0.095873,0.098400
L9/L10 North,2024,57378099.301462,2861309.102224,60239408.403687,4.930866,0.683476
L9/L10 South,2024,84718539.698538,3684509.261046,88403048.959584,4.900918,0.715933
L1,2025,0.000000,4607108.934143,4607108.934143,0.036452,0.041203
L2,2025,0.000000,1584903.546147,1584903.546147,0.030056,0.040539
L3,2025,0.000000,2893961.284262,2893961.284262,0.032390,0.040908
L4,2025,0.000000,2093040.560942,2093040.560942,0.037760,0.040539
L5,2025,0.000000,4230240.648170,4230240.648170,0.034845,0.041281
L9/L10 North,2025,56919766.293425,1131209.782937,58050976.076362,4.311091,0.675672
L9/L10 South,2025,80305915.039909,1456659.442413,81762574.482322,4.303758,0.699777
