scenario,model,RTD,delta_RTD,MC_AC,delta_MC_AC,subsidy_pct
baseline,M-OP,2.178322334662748,0.0,0.4553885208203774,0.0,54.46114791796226
baseline,M-FU,1.9642432681544766,0.0,0.4967216752831254,0.0,50.32783247168746
sigma_low,M-OP,2.178322334662748,0.0,0.4553885208203774,0.0,54.46114791796226
sigma_low,M-FU,1.9642432681544766,0.0,0.4967216752831254,0.0,50.32783247168746
sigma_high,M-OP,2.178322334662748,0.0,0.4553885208203774,0.0,54.46114791796226
sigma_high,M-FU,1.9642432681544766,0.0,0.4967216752831254,0.0,50.32783247168746
beta_low,M-OP,2.7857304150026163,0.6074080803398685,0.3553885208203773,-0.10000000000000009,64.46114791796226
beta_low,M-FU,2.444826176090405,0.4805829079359283,0.3967216752831255,-0.09999999999999987,60.32783247168745
beta_high,M-OP,1.7884971815182575,-0.3898251531444903,0.5553885208203774,0.09999999999999998,44.461147917962265
beta_high,M-FU,1.6416298365915651,-0.32261343156291145,0.5967216752831254,0.09999999999999998,40.327832471687465
no_trend,M-OP,2.178322334662748,0.0,0.4553885208203774,0.0,54.46114791796226
no_trend,M-FU,1.9642432681544766,0.0,0.4967216752831254,0.0,50.32783247168746
OLS-coches-km imp.,M-OP,-42.62874846201279,,,,
OLS-coches-km imp.,M-FU,-0.9310630044500788,,,,
OLS-pax imp.,M-OP,1.0000000000000007,,,,
OLS-pax imp.,M-FU,1.0000000000000002,,,,
monoproducto,M-OP,1.3820031830067272,-0.7963191516560206,0.7175742737647093,0.2621857529443319,28.24257262352907
monoproducto,M-FU,1.3820031830067272,-0.5822400851477494,0.6997633583604563,0.20304168307733095,30.023664163954365
excl-2025,M-OP,2.177340293414986,-0.000982041247761689,,,
excl-2025,M-FU,1.963440426884623,-0.000802841269853527,,,
